FISHID	FAMILY	SIRE	DAM	SEX	LICE	WEIGHT	LENGHT
B322_0062	EY129	L2M20276	L2F22429	0	6	1.86923172	2.267171728
B322_0008	BS045	L2M20308	L2F22750	1	9	2.037426498	2.342422681
B322_0019	CD056	L2M20288	L2F22514	0	16	1.929418926	2.281033367
B322_0064	HL194	L2M20360	L2F24065	1	21	2.086359831	2.344392274
B322_0088	BS045	L2M20308	L2F22750	0	10	1.995635195	2.311753861
B322_0707	EM117	L2M20125	L2F20598	0	12	2.049218023	2.338456494
B322_0155	CI061	L2M20195	L2F21010	0	12	2.08278537	2.346352974
B322_0169	HA183	L2M20276	L2F22157	0	19	1.897627091	2.292256071
B322_0179	AQ017	L2M20300	L2F22809	0	30	1.982271233	2.318063335
B322_0034	AQ017	L2M20300	L2F22809	1	44	2.004321374	2.322219295
B322_0022	CD056	L2M20288	L2F22514	1	27	2.133538908	2.350248018
B322_0063	GR174	L2M20327	L2F23481	0	17	1.785329835	2.243038049
B322_0010	FJ140	L2M20171	L2F21694	1	9	1.973127854	2.311753861
B322_0020	CS071	L2M20285	L2F22476	1	21	2.089905111	2.334453751
B322_0073	CT072	L2M20232	L2F22244	0	10	1.977723605	2.292256071
B322_0090	GR174	L2M20327	L2F23481	1	12	1.939519253	2.281033367
B322_0714	EL116	L1M10002	L2F23517	0	41	2	2.315970345
B322_0157	FO145	L2M20255	L2F22374	1	18	2.1430148	2.36361198
B322_0170	FN144	L2M20327	L2F23443	1	9	2	2.303196057
B322_0180	CV074	L2M20285	L2F22872	1	17	2.195899652	2.385606274
B322_0033	AT020	L2M20171	L2F21741	0	28	1.944482672	2.303196057
B322_0030	CE057	L2M20039	L2F20682	0	12	1.934498451	2.294466226
B322_0098	GR174	L2M20327	L2F23481	1	21	1.908485019	2.283301229
B322_0070	BS045	L2M20308	L2F22750	1	22	2.096910013	2.354108439
B322_0011	CW075	L2M20241	L2F21811	1	8	1.908485019	2.281033367
B322_0021	CE057	L2M20039	L2F20682	0	32	2.012837225	2.326335861
B322_0075	EY129	L2M20276	L2F22429	1	13	2.176091259	2.378397901
B322_0092	FL142	L2M20261	L2F23414	0	19	2.029383778	2.322219295
B322_0720	HP198	L2M20172	L2F21075	0	34	1.973127854	2.305351369
B322_0161	HC185	L2M20382	L2F24283	0	23	2.100370545	2.36361198
B322_0171	ER122	L2M20172	L2F21005	1	30	2.11058971	2.356025857
B322_0182	GY181	L2M20220	L2F22306	1	27	2.068185862	2.326335861
B322_0036	ER122	L2M20172	L2F21005	0	61	2.012837225	2.318063335
