Ind	Years	Lots	F.Weight	Hue.g	Ethylene	RI	TA	Glucose	Fructose	Sucrose	Citric.A.	Malic.A.
GoMo-A017	2007	3	80.9	69.84	9.14	14.4	25.33	1.71	0.54	7.42	20.71	8.27
GoMo-A018	2007	1	65.3	72.64	7.16	12.1	30.72	1.58	0.84	5.03	28.12	7.38
GoMo-A018	2007	2	60.1	74.28	7.53	13	30.9	1.67	0.82	5.3	28.35	8.33
GoMo-A018	2007	3	76.2	75.18	6.7	12.1	31.8	1.75	0.93	5.94	27.5	7.76
GoMo-A019	2007	1	62.3	78.49	5.12	13.9	23.21	1.84	1.02	7.43	18.99	8.03
GoMo-A019	2007	2	68.4	80.04	5.45	13	23.21	1.66	0.89	5.99	18.31	8.3
GoMo-A019	2007	3	60.5	78.57	5.73	16.3	22.9	1.71	0.93	6.06	20.39	7.49
GoMo-A020	2007	1	58.6	78.1	5.91	16	22.74	2.23	1.12	7.83	17.06	9.78
GoMo-A020	2007	2	61.7	76.52	6.77	16	24.48	2.12	1.2	8.62	19.31	9.52
GoMo-A020	2007	3	60.1	74.75	6.87	19	26.3	2.34	1.13	9.7	20.76	10.82
GoMo-A021	2007	1	41.4	71.09	4.2	13	26.32	1.55	0.74	5.8	21.36	8.71
GoMo-A021	2007	2	55.7	71	4.69	12.6	23.97	1.67	0.65	5.83	23.24	7.18
GoMo-A021	2007	3	45.4	72.65	7.13	14	21.33	1.91	0.92	8.75	18.99	9.17
GoMo-A022	2007	1	51.6	68.73	6.31	13.1	24.92	1.36	0.96	6.51	22.8	7.95
GoMo-A022	2007	2	57.1	66.52	7.7	13.7	26.91	1.3	0.95	7.08	24.08	8.96
GoMo-A022	2007	3	60.5	67.45	8.17	13.8	25.05	1.19	0.82	7.33	22.7	8.62
GoMo-A023	2007	1	51.7	75.69	4.62	17.1	21.71	1.98	0.87	9.42	17.35	11.24
GoMo-A023	2007	2	58.4	72.79	5.39	17.7	19.05	2.14	0.97	9.98	14.94	10.11
GoMo-A023	2007	3	59.2	73.98	5.62	17.2	20.29	2.12	0.85	9.75	16.5	10.7
GoMo-A024	2007	1	56.7	72.58	5.16	15.4	32.65	1.66	0.82	7.57	29.07	10.05
GoMo-A024	2007	2	56.4	70.95	5.85	15.8	30.55	1.66	0.82	7.88	28.88	9.49
GoMo-A024	2007	3	55.1	70.4	7.12	16.3	30.16	1.84	0.85	8.04	28.61	9.8
GoMo-A025	2007	1	44.3	68.25	2.94	15.1	23.68	1.64	0.9	6.9	18.35	12.48
GoMo-A025	2007	2	57.5	68.43	4.32	15.4	21.88	1.46	0.78	7.82	17.88	11.69
GoMo-A025	2007	3	48.6	65.71	5.76	17.5	20.79	1.69	0.77	9.45	18.04	10.1
GoMo-A026	2007	1	51.5	77.43	7.57	11.3	21.12	1.22	0.52	5.24	20.51	7.12
GoMo-A026	2007	2	58.9	75.83	8.21	11.9	17.42	0.98	0.48	6.48	16.6	5.98
GoMo-A026	2007	3	65.5	70.92	8.54	13.1	15.03	1.02	0.59	7.72	14.56	5.62
GoMo-A027	2007	1	65.2	67.42	6.67	15.8	24.12	1.76	1.36	7.62	22.89	8.27
GoMo-A027	2007	2	56.1	67.57	5.89	15.7	25.32	1.8	1.43	7.23	24.39	8.07
GoMo-A027	2007	3	66.6	67.1	7.02	15.9	25.67	1.61	1.26	7.58	21.37	7.1
GoMo-A028	2007	1	52.4	83.35	7.63	13.2	26.43	1.62	0.8	5.6	25.9	5.96
GoMo-A028	2007	2	51.3	80.68	8.35	14.2	27.37	1.65	0.91	6.19	27.46	6.19
GoMo-A028	2007	3	53.7	80.82	8.43	14.5	26.45	1.61	0.67	6.02	25.38	5.62
GoMo-A029	2007	1	60.7	69.24	4.19	14.8	29.64	1.86	1.22	8.01	21.7	14.51
GoMo-A029	2007	2	64.1	66.86	5.29	16	25.54	1.71	1.13	8.19	18.15	11.01
GoMo-A029	2007	3	69.8	66.35	5.61	16.1	25.33	1.7	1.12	8.45	18.53	10.45
GoMo-A030	2007	1	43.1	83.97	3.56	12.6	25.49	1.2	0.7	5.8	16.25	11.94
GoMo-A030	2007	2	49.7	78.09	4.01	13.9	22.47	1.43	0.73	7.08	13.44	12.24
GoMo-A030	2007	3	50.3	78.7	4.25	14.1	21.67	1.5	0.75	7.39	12.46	11.6
GoMo-A031	2007	1	68	76.62	4.08	12.4	24.47	1.85	0.46	5.72	17.46	10.35
GoMo-A031	2007	2	60.2	75.21	5.4	13	25.33	1.72	0.48	6.26	16.66	10.13
GoMo-A031	2007	3	56.7	71.51	6.96	13.9	20.46	2.04	0.47	6.84	14.9	9.49
GoMo-A032	2007	1	54.4	68.62	3.97	15.9	26.8	1.71	1.02	6.96	15.48	11.83
GoMo-A032	2007	2	65.4	68.93	3.83	15.7	25.43	1.62	1	7.68	15.91	12.22
GoMo-A032	2007	3	59.9	67.85	4.28	16.2	22.5	2.11	1.14	8.41	18.04	12.77
GoMo-A033	2007	1	58.6	78.87	5.91	9.9	24.79	1.63	0.97	4.33	21.36	8.28
GoMo-A033	2007	2	57	76.52	7.56	10.6	24.29	1.67	0.97	4.4	20.53	8.02
GoMo-A033	2007	3	60.8	75.72	8.02	10.6	22.74	1.64	0.92	4.97	19.94	7.74
GoMo-A034	2007	1	97.8	74.94	7.43	11.9	34.44	1.43	0.71	5.29	29.58	8.83
GoMo-A034	2007	2	92	73.67	7.97	12.5	33.61	1.55	0.72	5.83	28.7	5.36
GoMo-A034	2007	3	94.8	73.42	8.11	12.5	31.39	1.86	0.88	8.5	27.51	7.88
GoMo-A035	2007	1	72.9	72.11	7.59	10.3	26.16	1.64	0.64	5.56	24.18	9.18
GoMo-A035	2007	2	61.7	69.39	8.2	10.7	22.45	1.49	0.6	5.42	20.46	6.22
GoMo-A035	2007	3	75	67.89	8.81	11.4	23.35	1.4	0.49	5.8	23.07	6.76
GoMo-A037	2007	1	73.5	86.23	5.42	11.1	21.53	1.66	0.42	5.46	17.95	6.5
GoMo-A037	2007	2	69.3	83.13	7.39	11.7	19.66	1.75	0.49	5.61	17.53	6.17
GoMo-A037	2007	3	79.3	82.2	7.62	12.1	18.1	1.8	0.45	6.51	16.25	6.27
GoMo-A038	2007	1	58.1	78.75	4.72	14.6	28.1	1.6	1.03	7.46	18.75	14.63
GoMo-A038	2007	2	68.1	81.43	5.53	14.7	28.2	1.87	1.18	8.6	21.53	17.92
GoMo-A038	2007	3	64.3	74.09	6.4	15.1	26.37	1.63	0.96	8.34	19.72	12.65
GoMo-A039	2007	1	66	64.77	6.11	12.7	26.33	1.81	1.05	6.65	21.43	11.7
GoMo-A039	2007	2	79.9	65.83	5.97	12.7	25.46	1.79	1.09	7.8	18.97	9.51
GoMo-A039	2007	3	68.2	64.62	6.43	14	25.24	1.79	1.14	7.91	18.93	9.65
GoMo-A041	2007	1	62.2	70.48	4.48	14.8	28.68	1.39	0.64	7.29	25.07	6.21
GoMo-A041	2007	2	67	68.63	6.4	15.5	29.17	1.49	0.65	8.06	25.77	6.3
GoMo-A041	2007	3	66.5	67.57	6.98	16.2	26.32	1.44	0.58	8.52	23.63	6.32
GoMo-A042	2007	1	54.9	86.88	6.08	12.8	23.46	2.01	0.64	5.62	20.79	7.3
GoMo-A042	2007	2	53.3	85.74	7.08	13.3	23.48	2.15	0.77	5.88	20.23	6.63
GoMo-A042	2007	3	52.9	83.06	7.73	13.6	22.36	2.05	0.66	6.21	19.2	4.37
GoMo-A043	2007	1	46.7	68.29	5.32	12.5	24.07	1.35	0.6	6.69	21.71	6.05
GoMo-A043	2007	2	49.7	68.3	5.52	12.4	21.58	1.31	0.57	7.28	19.16	6.2
GoMo-A043	2007	3	58.3	69.12	6.78	12.3	21.84	1.22	0.41	6.81	19.42	5.71
GoMo-A044	2007	1	73.2	74.84	4.98	12.1	27.05	1.36	0.52	6.12	23.52	5.03
GoMo-A044	2007	2	70.4	72.28	6.82	13	25.11	1.52	0.51	6.85	21.94	5.46
GoMo-A044	2007	3	78.6	70.6	7.99	14.1	26.4	1.62	0.54	7.94	23.65	4.69
GoMo-A045	2007	1	36.1	74.56	5.19	12.5	25.14	1.79	0.92	4.97	21.2	5.79
GoMo-A045	2007	2	39.7	75.42	7.19	12.6	24.47	1.58	0.78	5.93	21.03	6.11
GoMo-A045	2007	3	41.4	71	7.42	13.2	25.11	1.53	0.78	6.49	21.81	6.65
GoMo-A046	2007	1	68	72.27	2.94	12.9	22.13	1.28	0.75	5.94	18.13	8.06
GoMo-A046	2007	2	73.5	69.98	3.83	14.7	20.36	1.39	0.82	7.56	15.24	8.62
GoMo-A046	2007	3	69.6	67.9	4.92	15.9	21	1.44	0.84	8.47	17.33	8.57
GoMo-A047	2007	1	61.6	71.36	3.3	13.8	25.7	1.11	0.66	4.96	21.84	8.23
GoMo-A047	2007	2	62.3	69.09	4.39	14.7	23.06	1.28	0.8	7.64	19.15	7.8
GoMo-A047	2007	3	71.9	68.97	5.83	17.4	21.59	1.53	0.86	9.38	16.97	7.96
GoMo-A048	2007	1	42.9	79.95	5.34	12.8	28.29	1.39	0.92	4.35	26.12	6.24
GoMo-A048	2007	2	41.2	76.61	7.27	13.1	25.66	1.31	0.9	5.68	21.98	5.4
GoMo-A048	2007	3	46.2	75.76	7.84	12.1	23.09	1.31	0.87	5.59	21.02	5.31
GoMo-A049	2007	1	36.9	71.48	3.81	11.6	37.68	0.62	0.25	5.58	29.93	12.67
GoMo-A049	2007	2	30.6	72.73	5.06	11.9	38.69	0.6	0.3	7.19	26.44	12.18
GoMo-A049	2007	3	38.9	71.39	6.43	10.8	38.05	0.54	0.22	5.1	32.81	8.46
GoMo-A051	2007	1	43	84.39	8.2	11.9	21.63	1.68	0.58	5.92	19.47	5.81
GoMo-A051	2007	2	48.7	79.39	8.52	12.7	19.79	1.83	0.59	6.58	18.54	5.31
GoMo-A051	2007	3	59.4	81.5	8.65	13.7	18.2	1.64	0.58	6.66	15.48	5.91
GoMo-A052	2007	1	45.7	82.5	8.22	12	22.52	1.69	0.58	5.24	20.71	8.27
GoMo-A052	2007	2	52.3	82.24	8.12	11.9	20.89	1.48	0.72	5.8	17.76	7.02
GoMo-A052	2007	3	51.1	79.79	8.6	13.1	18.99	1.7	0.67	6.36	12.08	5.19
GoMo-A053	2007	1	51.2	69.33	6.64	15.1	22.45	2.34	0.85	8	22.12	8.03
GoMo-A053	2007	2	48	69.56	7.1	14.1	23.17	1.75	0.68	6.52	20.03	6.88
GoMo-A053	2007	3	56.4	66.83	7.97	15.4	19.36	1.75	0.67	8.07	16.05	6.48
GoMo-A054	2007	1	61.3	70.55	4.98	13.7	21.53	1.6	0.81	5.2	18.99	7.86
GoMo-A054	2007	2	57.6	70.13	7	14	20.71	1.44	0.81	6.25	16.43	7.85
GoMo-A054	2007	3	77	70.05	8.18	15	20.83	1.54	0.81	6.76	15.15	7.23
GoMo-A055	2007	1	72.4	77.7	4.88	11.6	24.16	1.03	0.98	5.49	16.46	5.34
GoMo-A055	2007	2	78.2	75.73	6.36	12.8	22.4	1.22	0.75	5.93	17.59	5.6
GoMo-A055	2007	3	75	76.11	7.73	13.4	18.88	1.29	0.79	6.55	17.56	5.69
GoMo-A056	2007	1	31.7	84.09	6.32	12.7	24.32	1.31	0.87	5.79	18.5	9.88
GoMo-A056	2007	2	42.7	82.59	7.77	13.2	21.52	1.41	0.85	6.3	16.33	9
GoMo-A056	2007	3	40.7	80.21	8.82	13.6	20.53	1.42	0.88	6.5	15.45	7.97
GoMo-A057	2007	1	74.5	75.76	3.76	14.6	27.69	1.63	0.93	6.71	18.01	12.68
GoMo-A057	2007	2	90.8	75.47	4.49	15	26.62	1.64	0.86	7.33	18.45	13.29
GoMo-A057	2007	3	87.7	72.76	6.81	16.6	22.94	1.72	0.97	8.1	15.14	9.45
GoMo-A058	2007	1	50.3	82.99	4.5	11.5	30.48	2.11	3.44	5.49	29.52	10.5
GoMo-A058	2007	2	58.5	80.77	6.74	12.4	26.81	1.61	0.72	5.03	22.58	8.05
GoMo-A058	2007	3	58	78.04	8.37	14.1	24.56	2.04	0.83	6.61	20.79	7.22
GoMo-A059	2007	1	50.2	72.54	4.7	13.5	30.13	1.35	0.82	6.53	23.05	9.82
GoMo-A059	2007	2	49.8	73.29	5.78	15.1	28.41	1.56	0.87	6.97	21.39	9.77
GoMo-A059	2007	3	52.1	73.82	6.77	15.7	29.37	1.58	0.93	7.97	23.24	9.9
GoMo-A061	2007	1	59.6	73.75	8.32	9.9	24.99	1.15	0.42	4.18	28.43	5.84
GoMo-A061	2007	2	63.3	72.55	9.07	10.4	24.75	1.18	0.44	4.71	24.53	5.27
GoMo-A061	2007	3	65	69.69	9.5	11.1	21.8	1.39	0.42	5.04	21.08	5.03
GoMo-A062	2007	1	64	72.75	3.09	14.6	26.17	1.69	1.15	6.32	20.79	9.93
GoMo-A062	2007	2	54.3	72.44	3.53	15.7	23.58	1.83	1.24	7.33	18.85	9.15
GoMo-A062	2007	3	63.5	69.64	4.53	16.4	21.39	1.84	1.24	7.68	17.05	8.88
GoMo-A063	2007	1	76.6	76.52	6.97	13.1	26.37	1.77	0.85	5.22	20.66	9
GoMo-A063	2007	2	79.8	74.23	6.76	12.2	22.7	1.84	0.8	4.88	22.11	10.7
GoMo-A063	2007	3	88.7	74.09	8.06	14.1	21.14	1.92	0.74	6.43	18.91	7.74
GoMo-B001	2007	1	44.9	73.55	8.48	11.3	22.02	1.31	0.86	4.88	15.73	8.41
GoMo-B001	2007	2	54.3	69.11	8.94	13.9	21.95	1.36	0.9	7.02	16.01	9
GoMo-B001	2007	3	52.8	69	8.76	14.7	21.14	1.64	1.03	7.36	16.98	8.41
GoMo-B002	2007	1	56.3	75.8	8.07	12.9	30.34	1.32	0.82	5.47	28.47	6.01
GoMo-B002	2007	2	57.2	72.54	9.19	12.8	26.78	1.47	0.88	6.39	24.53	6.44
GoMo-B002	2007	3	58.7	72.15	9.19	13.4	27.27	1.37	0.82	6.85	24.57	6.83
GoMo-B005	2007	1	78.2	67.43	7.32	15	28.72	1.19	0.8	7.37	24.88	9.51
GoMo-B005	2007	2	62	65.82	8.09	15.4	26.74	1.21	0.77	7.28	23.8	9.15
GoMo-B005	2007	3	87.9	67.32	7.96	15.8	26.15	1.26	0.79	7.63	23.41	8.53
GoMo-B006	2007	1	48.7	76.01	7.54	13.9	30.25	1.63	0.83	5.26	25.78	7.82
GoMo-B006	2007	2	56.2	74.37	7.96	13.8	30.62	1.51	0.86	5.56	25.47	8.02
GoMo-B006	2007	3	50	74.49	8.83	13	27.45	1.43	0.73	6.37	24.38	7.46
GoMo-B007	2007	1	56.2	71.51	6.44	13.6	30.42	1.58	0.9	6.28	25.04	8.07
GoMo-B007	2007	2	56.9	69.95	7.2	13.7	28.37	1.65	0.91	6.52	24.07	7.07
GoMo-B007	2007	3	65.1	69.44	7.2	13.6	28.73	1.62	0.85	6.53	24.61	7.14
GoMo-B008	2007	1	63.1	85.72	6.09	11.8	25.31	1.4	0.55	5.58	22.89	6.59
GoMo-B008	2007	2	68.4	84.75	7.68	11.6	25.11	1.29	0.5	5.5	21.36	5.32
GoMo-B008	2007	3	69.2	80.71	8.84	12.7	23.36	1.44	0.52	5.95	24.53	6.23
GoMo-B009	2007	1	52.8	79.45	7.47	11.7	24.14	1.46	0.83	4.73	22.96	7.81
GoMo-B009	2007	2	48	80.84	7.82	12.2	24.29	1.55	0.86	5.06	24.95	7.95
GoMo-B009	2007	3	52.4	76.86	8.17	12.2	24.11	1.33	0.73	5.19	22.3	9.87
GoMo-B010	2007	1	56.3	75.44	5.82	14.2	34.95	1.47	0.9	5.54	27.72	11.9
GoMo-B010	2007	2	59.1	73.38	7.55	14.5	29.1	1.52	0.82	6.31	24.34	9.84
GoMo-B010	2007	3	57.8	72.12	8.68	15.2	29.84	1.4	0.73	6.86	26.96	8.39
GoMo-B011	2007	1	58.8	79.06	3.95	11.3	37.86	1.54	0.65	5.11	29.86	12.48
GoMo-B011	2007	2	68.9	76.85	5.92	11.3	35.45	1.45	0.58	4.81	26.61	11.36
GoMo-B011	2007	3	79.7	76.75	7.27	12	35.45	1.5	0.59	5.84	26.76	11.46
GoMo-B014	2007	1	69	83.62	7.1	13	31.22	1.6	0.98	5.66	25.04	11.06
GoMo-B014	2007	2	76.9	82.27	7.8	12.8	28.28	1.55	0.95	5.74	23.71	8.94
GoMo-B014	2007	3	80.6	80.72	7.95	13.7	26.66	1.68	0.98	6.32	22.81	8.96
GoMo-B016	2007	1	63	79.56	7.37	11.7	33.03	1.46	0.96	4.41	31.16	6.19
GoMo-B016	2007	2	62.4	77.33	8.51	13	30.46	1.55	0.99	5.39	28.04	5.3
GoMo-B016	2007	3	74.3	75.26	8.61	13	28.73	1.57	1	5.41	25.9	5.36
GoMo-B018	2007	1	39.4	67.91	4.75	16.9	26.69	2.27	1.61	7.33	20.4	13.87
GoMo-B018	2007	2	45.6	68.2	4.77	16.6	25.11	2.19	1.52	7.61	16.89	12.61
GoMo-B018	2007	3	45.7	66.15	5.24	17.1	27.22	2.22	1.65	7.59	19.34	11.92
GoMo-B020	2007	1	73.2	68.22	7.04	15.2	20.32	1.66	1.05	7.13	18.28	6.99
GoMo-B020	2007	2	82	69.71	7.39	14.8	17.32	1.71	0.99	7.6	14.28	6.53
GoMo-B020	2007	3	70.3	69.38	8.41	15.8	17.47	1.82	1.13	7.62	14.76	6.46
GoMo-B021	2007	1	72.6	70.74	5.51	15.6	26.3	1.79	1.24	7.12	22.32	8.59
GoMo-B021	2007	2	72.9	71.96	3.61	15.8	25.38	2.06	1.4	7.24	16.89	7.04
GoMo-B021	2007	3	77.9	69.59	4.86	17.5	24.2	1.82	1.27	8	20.56	8.63
GoMo-B022	2007	1	63.8	79.71	4.2	12.2	30.74	1.22	0.64	5.42	22.01	11.55
GoMo-B022	2007	2	69.3	75.21	6.82	13.2	31.11	1.35	0.73	6.6	23.13	11.34
GoMo-B022	2007	3	67	76.71	7.01	13.2	29.59	1.44	0.74	6.31	20.77	10.66
GoMo-B024	2007	1	42.7	67.15	5.09	15.2	22.64	1.76	1.15	6.12	15.63	11.77
GoMo-B024	2007	2	57.4	67.5	5.56	15.6	22.35	1.66	1.07	7.87	16.43	11.85
GoMo-B024	2007	3	56	65.27	5.05	15.7	21.71	1.8	0.97	8.05	18.56	12.5
GoMo-B025	2007	1	61.2	68.06	3.3	14.1	22.36	1.27	0.72	6.35	20.74	9.19
GoMo-B025	2007	2	62.7	67.06	3.26	15.4	19.07	1.33	0.7	7.15	17.59	8.4
GoMo-B025	2007	3	65.8	66.54	5	16	18.96	1.31	0.77	7.56	17.92	8.86
GoMo-B027	2007	1	45.9	75.26	7.36	13.1	27.87	1.24	0.64	5.23	22.94	10.66
GoMo-B027	2007	2	49.8	72.33	8.36	14.1	25.96	1.44	0.73	6.03	20.48	10.53
GoMo-B027	2007	3	49.3	72.65	8.59	14.4	27.61	1.15	0.6	6.58	22.74	10.41
GoMo-B028	2007	1	84.2	75.27	7.55	12.7	33.79	1.51	1.03	5.45	32.08	5.71
GoMo-B028	2007	2	81.4	74.46	7.98	12	33.83	1.23	0.75	5.27	32.5	4.78
GoMo-B028	2007	3	88.2	73.98	8.41	12	33.82	1.17	0.75	5.3	31.46	4.46
GoMo-B029	2007	1	51.1	69.85	4.63	15.3	25.08	1.39	0.91	6.8	19.53	12.34
GoMo-B029	2007	2	48.9	66.75	5.76	15.4	21.91	1.46	0.98	7.27	16.67	11.42
GoMo-B029	2007	3	43.8	66.54	6.57	16.5	20.17	1.67	1.12	8.62	15.89	10.41
GoMo-B030	2007	1	41.9	66.4	7.99	16	30.44	1.04	0.88	8.17	24.34	9.66
GoMo-B030	2007	2	49.5	66.35	8.66	16.5	23.85	1.23	0.95	9.98	21.88	8.96
GoMo-B030	2007	3	47.7	65.7	8.98	17.1	25.4	1.15	0.93	9.01	20.69	7.79
GoMo-B034	2007	1	50.8	79.34	8.12	16.4	26.85	2.83	0.8	6.95	22.53	6.15
GoMo-B034	2007	2	56.3	78.78	7.06	15.7	28.09	2.76	0.81	11.05	25.92	6.94
GoMo-B034	2007	3	53.6	80.96	7.96	14.4	25.8	2.45	0.73	5.5	28.25	6.67
GoMo-B038	2007	1	32.7	77.43	7.01	19	27.35	2.05	1.21	7.91	21.26	13.24
GoMo-B038	2007	2	36.8	74.72	7.55	17.9	27.99	1.85	1.13	7.75	22.85	11.66
GoMo-B038	2007	3	33	75.58	8.61	18.3	27.32	1.86	1.11	8.78	20.72	10.8
GoMo-B039	2007	1	50.4	74.16	5.74	13.8	24.85	1.66	0.85	5.54	22.92	9
GoMo-B039	2007	2	52.5	74.18	7	14	24.31	1.65	0.88	6.18	22.54	9.27
GoMo-B039	2007	3	55.2	73.26	7.59	15.6	22.91	1.63	0.78	6.84	21.56	8.96
GoMo-B041	2007	1	64.3	79.26	3.47	15	21.41	1.43	0.68	6.7	19.69	7.76
GoMo-B041	2007	2	62.3	77.33	4.71	15.2	20.42	1.72	0.75	7.37	18.66	8.02
GoMo-B041	2007	3	70	72.72	5.78	15.6	18.71	1.6	0.7	8.16	17.78	6.85
GoMo-B042	2007	1	49.4	81.85	4.93	12.4	28.06	1.68	1.1	5.08	23.13	9.55
GoMo-B042	2007	2	58.9	78.69	6.23	12.7	25.38	1.66	1.09	5.57	20.8	8.31
GoMo-B042	2007	3	58.1	77.66	7.45	13.7	22.29	1.66	1.06	6.44	18.54	7.09
GoMo-B043	2007	1	53.5	72.81	6.33	14.2	27.55	1.57	1	6.78	24.96	9.84
GoMo-B043	2007	2	53.6	71.59	8.31	15.2	24.92	1.45	0.98	6.94	22.5	8.96
GoMo-B043	2007	3	55.5	70.23	8.79	15.3	23.74	1.45	0.98	7.52	21.91	8.07
GoMo-B044	2007	1	62.5	78.65	5.47	13.4	26.96	1.55	0.87	6.58	19.31	12.79
GoMo-B044	2007	2	68.7	74.63	6.4	13.3	25.17	1.66	0.83	6.65	17.93	12.02
GoMo-B044	2007	3	58.7	74.57	7.4	15.7	26.24	1.85	1	7.8	18.78	13.16
GoMo-B045	2007	1	45.3	79.88	5.98	17	26.54	2.27	1.16	7.64	22.53	10.61
GoMo-B045	2007	2	49	77.72	7.23	19.4	21.43	2.5	1.1	8.94	20.35	8.37
GoMo-B045	2007	3	48.8	80.59	7.52	18.6	22.27	2.13	0.99	9.11	19.98	9.09
GoMo-C001	2007	1	59.8	74.03	4.2	16	31.37	1.23	0.89	7.59	26.19	8.83
GoMo-C001	2007	2	58.9	71.75	6.75	16.1	28.35	1.3	0.88	8.14	24.41	8.07
GoMo-C001	2007	3	53.5	71.76	7.49	16.1	27.54	1.33	0.9	8.23	22.54	8.37
GoMo-C002	2007	1	57.6	69.37	3.97	13.7	25.86	1.83	1.2	5.53	18.5	9.88
GoMo-C002	2007	2	55.7	67.6	4.73	14.4	25.55	1.82	1.2	6.45	19.34	8.94
GoMo-C002	2007	3	60.2	66.83	4.67	14.8	23.32	1.91	1.16	6.73	17.64	8.28
GoMo-C003	2007	1	47.9	83.19	4.14	15.2	40.3	1.85	1.22	5.55	36.97	8.05
GoMo-C003	2007	2	54	82.93	5.23	15.7	35.72	1.8	1.16	5.57	33.27	7.06
GoMo-C003	2007	3	49.4	78.82	6.46	17.1	37.02	1.9	1.28	5.42	35.63	7.46
GoMo-C006	2007	1	60.4	73.97	3.56	13.6	29.77	1.4	1.05	5.27	27.81	9.55
GoMo-C006	2007	2	59.4	71.71	4.37	14.2	26.31	1.52	1.17	6.29	23.64	10.1
GoMo-C006	2007	3	68.1	71.93	7.12	15.2	23.8	1.38	1.11	7.24	21.19	8.8
GoMo-C007	2007	1	81.3	69.18	4.47	13.3	34.11	1.62	0.76	7	30.1	11.73
GoMo-C007	2007	2	70.4	69.21	4.44	12.2	31.72	1.22	0.61	5.35	26.33	7.9
GoMo-C007	2007	3	76.5	67.45	6.96	13.9	26.01	1.59	0.68	6.51	21.41	7.49
GoMo-C009	2007	1	57	76.8	6.23	12	28.63	1.31	0.59	5.36	27.86	6.8
GoMo-C009	2007	2	57	76.52	7.57	13.1	27.47	1.43	0.65	6.08	26.25	7.46
GoMo-C009	2007	3	59.6	72.43	8.27	13	25.57	1.41	0.55	5.99	24.57	6.62
GoMo-C010	2007	1	38.5	80.71	7.33	17.4	25.26	1.42	0.64	6.34	17.79	10.84
GoMo-C010	2007	2	40.9	76.69	7.59	16.6	25.5	1.75	0.98	6.76	17.84	10.46
GoMo-C010	2007	3	39.2	77.73	8.02	16.8	25.65	1.91	1.02	7.35	20.46	10.37
GoMo-C011	2007	1	36.8	73.25	7.7	12.2	29.84	1.29	0.7	4.94	29.17	5.51
GoMo-C011	2007	2	41.6	73.16	8.27	12.5	29.65	1.33	0.55	5.94	27.19	5.37
GoMo-C011	2007	3	38.6	71.29	8.62	13.9	28.44	1.64	0.5	6.6	27.99	5.41
GoMo-C012	2007	1	47.6	70.47	3.97	11.4	29.14	1.24	0.7	5.26	21.84	10.72
GoMo-C012	2007	2	47.3	68.82	4.16	11.6	29.44	1.44	0.72	5.18	21.36	10.64
GoMo-C012	2007	3	59.8	67.79	6.22	13.5	25.53	1.61	0.77	6.26	22.29	10.05
GoMo-C014	2007	1	68.9	69.75	5.62	12.7	21.58	1.79	0.7	5.62	17.87	6.94
GoMo-C014	2007	2	71.5	70.19	6.67	13.8	21.24	1.92	0.82	6.49	18.07	7.74
GoMo-C014	2007	3	76.4	69	7.8	15.3	20.25	1.94	0.72	7.77	16.82	7.44
GoMo-C016	2007	1	69.8	71.28	3.81	12.1	27.49	1.3	0.57	5.92	27.65	8.63
GoMo-C016	2007	2	59.2	73.82	5.58	11.7	23.31	1.05	0.4	6.15	14.11	5.09
GoMo-C016	2007	3	63.5	73.41	7.98	12.1	23.06	1.22	0.44	6.59	19.23	7.29
GoMo-C017	2007	1	42.8	69.47	5.01	11.5	21.85	1.51	0.66	4.91	17.37	9.32
GoMo-C017	2007	2	51.9	69.35	7.08	14.5	19.87	1.57	0.73	6.93	13.78	8.77
GoMo-C017	2007	3	54.3	68.47	7.9	15.4	18.94	1.38	0.66	7.29	13.53	8.81
GoMo-C018	2007	1	71.8	82.95	5.94	11.9	33.76	1.42	0.59	7.45	23.57	10.53
GoMo-C018	2007	2	80.8	79.68	6.75	12.9	33.18	1.27	0.54	6.76	24.08	10.19
GoMo-C018	2007	3	79.5	79.87	7.26	12.4	30.39	1.33	0.54	6.85	22.22	9.14
GoMo-C020	2007	1	65.3	70.71	7.16	13.5	21.24	1.63	0.46	5.55	17.34	10.17
GoMo-C020	2007	2	73.1	70.71	7.6	13.8	19.96	1.52	0.47	5.63	15	8.77
GoMo-C020	2007	3	67.6	71.03	8.08	14	19.62	1.53	0.53	5.31	14.28	8.71
GoMo-C023	2007	1	60.9	84.84	9.11	12.8	34.94	1.39	0.92	6.22	33.02	8.29
GoMo-C023	2007	2	60.4	82.31	8.69	11.6	33.5	1.15	0.71	5.06	31.64	7.59
GoMo-C023	2007	3	70.5	80.99	9.5	14.5	32.16	1.44	0.87	7	30.79	7.72
GoMo-C024	2007	1	36.4	65.57	5.12	15.6	18.85	1.33	0.64	7.76	12	9.7
GoMo-C024	2007	2	33.1	67.02	6.78	17.8	23.13	1.48	0.76	9.3	15.07	11.46
GoMo-C024	2007	3	40.7	67.26	6.68	16.6	21.57	1.38	0.67	8.97	15.14	10.33
GoMo-C025	2007	1	41	81.59	5.58	14.3	25	1.98	1.15	6.33	15	12.58
GoMo-C025	2007	2	44.8	72.19	5.76	15.8	22.12	2.03	1.17	7.25	13.76	11.39
GoMo-C025	2007	3	40.9	74	6.48	18.1	23.21	2.43	1.34	8.03	15.51	11.68
GoMo-C026	2007	1	49.1	73.39	6.18	13.3	34.68	1.19	0.66	6.39	27.12	12.81
